dataset,item_id,category,question,faithfulness,answer_relevancy,context_precision
finqa,finqa_4895,calculation,what percent of the total future obligations in 2014 are from other purchase commitments?,0.5384615384615384,0.9999999999999684,0.9999999999666668
finqa,finqa_1253,lookup,"what is the range between the shortest and longest length of leases for retail space , in years?",0.7142857142857143,0.9807225888995528,0.9999999999
finqa,finqa_3181,calculation,in 2007 what was the percentage change in the account balance of unrecognized tax benefits based on the reconciliation at december 31 .,0.4,0.8986002050032239,0.9999999999666668
finqa,finqa_2743,lookup,"with 2014 closing stock price , what is the total value of the award for the additional shares , ( in millions ) ?",1.0,0.7647747078399091,0.9999999999666668
finqa,finqa_490,calculation,what was the ratio of the outstanding surety bonds for the investee and the parent for 2010 to 2009,0.5,0.9322292922813212,0.3333333333
finqa,finqa_3697,calculation,"what is the change in value of fixed maturities afs from 2010 to 2011 , ( in billions ) ?",0.8,0.9259634616496584,0.0
finqa,finqa_4784,calculation,what was the percentage change of the net revenue in 2010,0.2941176470588235,0.9315656113845496,0.99999999995
finqa,finqa_3189,lookup,what portion of the total accumulated other comprehensive losses is incurred by the currency translation adjustments in 2014?,0.75,0.854196647798218,0.9999999999666668
finqa,finqa_1993,calculation,what percent did indemnified securities financing increase between 2005 and 2006?,0.5,0.9860007831441032,0.5833333333041666
finqa,finqa_4566,lookup,"what is the total unfunded commitments at december 31 , 2011 including private equity investments and other investments , in millions?",0.625,0.8389089246155272,0.99999999995
finqa,finqa_3515,lookup,what is the interest expense of the loan for the first quarter?,0.3,0.6946326714039025,0.9999999999
finqa,finqa_1120,calculation,based on the black-scholes option pricing model what was the percent of the change in approximate risk-free interest rate from 2003 to 2004,1.0,0.8339593713033601,0.99999999995
finqa,finqa_3651,calculation,what percent of total revenues net of interest expense was non-interest revenue in 2008?,1.0,0.9964628123305022,0.5833333333041666
finqa,finqa_3240,calculation,"without the accounting change , what would the aro balance have been ( millions ) at december 31 2003?",0.5,0.9637803706666096,0.9999999999666668
finqa,finqa_966,lookup,3 net income ( loss ) $ 132.8 \\n5 income tax expense ( benefit ) 62.7,1.0,0.650570245491065,0.9999999999666668
MultiHop-RAG,multihop_0,inference_query,"What country, featured in articles from both 'Fortune' and 'Business Today | Latest Stock Market And Economy News India', has recently been involved in issuing a relocation warning in Gaza, controlling the entry of essential supplies there, and experienced a surprise attack due to an intelligence failure?",0.25,0.2720460581831776,0.5833333333041666
MultiHop-RAG,multihop_1,inference_query,"Which company, recently reported by both TechCrunch and The Verge, is implicated in altering the internet's appearance, not fully releasing its AI model, and facing a class action antitrust suit for harming news publishers' revenue?",0.4285714285714285,0.3124432109588101,0.8333333332916666
MultiHop-RAG,multihop_2,inference_query,"Which company, featured in multiple TechCrunch articles, is responsible for developing GPT-4 Turbo and prioritizes ChatGPT as a development platform while also planning to establish an ""app store for AI"" that would compete with Hugging Face and open source models?",1.0,-0.0,0.9999999999666668
MultiHop-RAG,multihop_3,inference_query,"Who, according to articles from TechCrunch, is considered both one of the most brilliant and impactful individuals in the industry and has been accused of not being fully truthful with the board?",0.0,0.0,0.0
