financebench_id,question,reasoning_bucket,question_type,answer,gics_sector,doc_type,faithfulness,answer_relevancy,llm_context_precision_without_reference
financebench_id_00746,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?,Information extraction,domain-relevant,There are none,Consumer Discretionary,10k,1.0,0.1547183103806012,0.9999999999
financebench_id_07661,"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.",Information extraction,metrics-generated,$382.00,Information Technology,10k,1.0,0.2442094297145583,0.9999999999
financebench_id_03531,"According to the details clearly outlined within the balance sheet, how much total current assets did Nike have at the end of FY2019? Answer in USD millions.",Information extraction,metrics-generated,$16525.00,Consumer Discretionary,10k,1.0,0.3215090872928082,0.9999999999
financebench_id_01091,Has Boeing reported any materially important ongoing legal battles from FY2022?,Information extraction,domain-relevant,Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines crash.,Industrials,10k,0.75,0.6257481073804082,0.0
financebench_id_00995,What are the major products and services that AMD sells as of FY22?,Information extraction,domain-relevant,"AMD sells server microprocessors (CPUs) and graphics processing units (GPUs), data processing units (DPUs), Field Programmable Gate Arrays (FPGAs), and Adaptive System-on-Chip (SoC) products for data centers; CPUs, accelerated processing units (APUs) that integrate CPUs and GPUs, and chipsets for desktop and notebook personal computers; discrete GPUs, and semi-custom SoC products and development services; and embedded CPUs, GPUs, APUs, FPGAs, and Adaptive SoC products.",Information Technology,10k,1.0,0.7851184492866111,0.9999999999
financebench_id_01198,What drove revenue change as of the FY22 for AMD?,Information extraction,domain-relevant,"In 2022, AMD reported Higher sales of their EPYC server processors, higher semi-custom product sales, and the inclusion of Xilinx embedded product sales",Information Technology,10k,1.0,0.6731970812682765,0.9999999999
financebench_id_04209,"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions.",Information extraction,metrics-generated,$59268.00,Consumer Staples,10k,1.0,0.35385801808701983,0.9999999999
financebench_id_01244,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,Information extraction,domain-relevant,"Yes, CVS paid a $ 0.55 dividend per share every quarter in FY2022",Health Care,10k,0.0,0.7875179231617273,0.9999999999
financebench_id_01346,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,Numerical reasoning,domain-relevant,The effective tax rate of Corning has changed from 20% in FY2021 to 23% in FY 2022.,Information Technology,10k,1.0,0.9639432456122486,0.9999999999
financebench_id_00222,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",Numerical reasoning,domain-relevant,"Yes. The quick ratio is 1.57, calculated as (cash and cash equivalents+Short term investments+Accounts receivable, net+receivables from related parties)/ (current liabilities).",Information Technology,10k,0.75,0.2787225433035863,0.9999999999
financebench_id_07966,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,Numerical reasoning,metrics-generated,1.9%,Communication Services,10k,0.6666666666666666,0.3544944560497066,0.99999999995
financebench_id_00540,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,Numerical reasoning,domain-relevant,AES has converted inventory 9.5 times in FY 2022.,Utilities,10k,0.0,0.6403063803890604,0.49999999995
financebench_id_00669,"What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a company like this, then please state that and explain why.",Numerical reasoning,domain-relevant,"For FY22, JnJ had changes in gross margin due to: One-time COVID-19 vaccine manufacturing exit related costs, Currency impacts in the Pharmaceutical segment, Commodity inflation in the MedTech and Consumer Health segments, partially offset by Supply chain benefits in the Consumer Health segment.",Health Care,10k,1.0,0.8815970412362072,0.9999999999
financebench_id_04103,What is the FY2019 cash conversion cycle (CCC) for General Mills? CCC is defined as: DIO + DSO - DPO. DIO is defined as: 365 * (average inventory between FY2018 and FY2019) / (FY2019 COGS). DSO is defined as: 365 * (average accounts receivable between FY2018 and FY2019) / (FY2019 Revenue). DPO is defined as: 365 * (average accounts payable between FY2018 and FY2019) / (FY2019 COGS + change in inventory between FY2018 and FY2019). Round your answer to two decimal places. Address the question by using the line items and information shown within the income statement and the balance sheet.,Numerical reasoning,metrics-generated,-3.7,Consumer Staples,10k,0.9166666666666666,0.18789080973866587,0.99999999995
financebench_id_00216,"Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",Numerical reasoning,domain-relevant,No. The quick ratio was approximately 0.54 for Verizon. It indicated that Verizon does not have a healthy liquidity profile.,Communication Services,10k,1.0,0.8305022128755519,0.9999999999
financebench_id_04735,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,Numerical reasoning,metrics-generated,0.66,Information Technology,10k,1.0,0.241944310432172,0.99999999995
